K;Tamanho;execution_time
2;10000000;3,7446142
2;10000000;3,7301845
4;10000000;3,7545995
4;10000000;3,8139606
4;10000000;3,7297486
4;10000000;3,7286597
4;10000000;3,8003864
4;10000000;3,7571214
4;10000000;4,1550493
4;10000000;3,8080902
4;10000000;3,916703
4;10000000;3,9025055
4;10000000;3,7478698
4;10000000;3,7463724
4;10000000;3,7979861
4;10000000;3,7630075
4;10000000;3,937953
4;10000000;3,8077012
4;10000000;3,7749237
4;10000000;3,7780066
4;10000000;3,8378081
4;10000000;3,76491
4;10000000;3,9969151
4;10000000;3,7482911
4;10000000;4,0104097
4;10000000;3,7835355
4;10000000;3,8601395
4;10000000;3,7881664
4;10000000;3,799178
4;10000000;3,7878461
4;10000000;3,8066757
4;10000000;3,7601876
4;10000000;3,771773
4;10000000;3,7529822
4;10000000;3,7474734
4;10000000;3,7939174
4;10000000;3,7565013
4;10000000;3,790496
4;10000000;3,797389
4;10000000;3,7686842
4;10000000;3,7627378
4;10000000;3,7746603
4;10000000;3,8040389
4;10000000;3,7591399
4;10000000;3,7189872
4;10000000;3,8061727
4;10000000;3,7636699
4;10000000;3,7675865
4;10000000;3,7667105
4;10000000;3,7388363
4;10000000;3,7624059
4;10000000;3,7495289
8;10000000;3,737203
8;10000000;3,9183006
8;10000000;3,834663
8;10000000;3,7435331
8;10000000;3,7643307
8;10000000;3,7405517
8;10000000;3,8051583
8;10000000;3,8032982
8;10000000;3,7556572
8;10000000;3,9119253
8;10000000;3,778725
8;10000000;3,8393017
8;10000000;3,9164202
8;10000000;3,7393098
8;10000000;3,7624428
8;10000000;3,7968063
8;10000000;3,7713898
8;10000000;3,7868327
8;10000000;3,7402589
8;10000000;3,7655435
8;10000000;3,7438661
8;10000000;3,7920739
8;10000000;3,8162136
8;10000000;3,8089877
8;10000000;3,8245755
8;10000000;3,8172946
8;10000000;3,7680296
8;10000000;3,7777512
8;10000000;3,757598
8;10000000;3,7826394
8;10000000;3,7556086
8;10000000;3,8503271
8;10000000;3,7891387
8;10000000;3,8065074
8;10000000;3,8062547
8;10000000;3,7598952
8;10000000;3,768712
8;10000000;3,7788737
8;10000000;3,7380944
8;10000000;3,8011516
8;10000000;3,9296504
8;10000000;3,7876644
8;10000000;3,7874435
8;10000000;3,7957001
8;10000000;3,788392
8;10000000;3,7794964
8;10000000;3,7494653
8;10000000;3,7623698
8;10000000;3,7472487
8;10000000;3,8019383
16;10000000;3,7761414
16;10000000;3,8280484
16;10000000;3,7756732
16;10000000;3,8410704
16;10000000;3,8503599
16;10000000;3,7770756
